รหัส,ชื่อสินค้า,สูง (นิ้ว),หน้าตัก (นิ้ว),ปริมาตรสัมพัทธ์ (เท่าของ 9x8),ราคาเดิม,ราคาที่เสนอ,ส่วนต่าง
54,พระสิวลี ขนาดสูง 8 นิ้ว หน้าตักกว้าง 3 นิ้ว เนื้อนิล,8,3,0.12,1200,450,-750
53,พระเศรษฐีนวโกฎิ ขนาดสูง 6 นิ้ว หน้าตักกว้าง 5 นิ้ว เนื้อนิล,6,5,0.26,1200,450,-750
42,พระเจ้าตากสิน ขนาดสูง 10 นิ้ว หน้าตักกว้าง 4 นิ้ว,10,4,0.28,1200,500,-700
43,รัชกาลที่ 5 ขนาดสูง 11 นิ้ว หน้าตักกว้าง 4 นิ้ว,11,4,0.31,1200,500,-700
40,พระพิฆเนศ ขนาดสูง 9 นิ้ว หน้าตักกว้าง 6 นิ้ว,9,6,0.56,1200,800,-400
41,ครูบาศรีวิชัย ขนาดสูง 9 นิ้ว หน้าตักกว้าง 6 นิ้ว,9,6,0.56,1200,800,-400
56,หลวงพ่อโสธร ขนาดสูง 9 นิ้ว หน้าตักกว้าง 7 นิ้ว,9,7,0.77,1200,1000,-200
22,พระศิลาแลงอัด หลวงพ่อเงินนั่งชาละวัล,,,1.00,1200,1200,0
23,พระสังกัจจายน์ ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
24,หลวงปู่ทวด ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
31,หลวงพ่อเดิม ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
34,หลวงพ่อเงิน ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
47,พระพุทธจารย์โต เนื้อรมดำ ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
48,พระพุทธจารย์โต เนื้อกระเบื้องหลังคาโบสถ์ ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
49,พระอุปคุต เนื้อกระเบื้องหลังคาโบส ขนาดสูง 9 นิ้ว หน้าตักกว้าง 8 นิ้ว,9,8,1.00,1200,1200,0
38,พระพิฆเนศ ขนาดสูง 13 นิ้ว หน้าตักกว้าง 7 นิ้ว,13,7,1.11,1200,1300,100
39,พระพิฆเนศ ขนาดสูง 13 นิ้ว หน้าตักกว้าง 7 นิ้ว,13,7,1.11,1200,1300,100
55,พระพุทธชินราช ขนาดสูง 11 นิ้ว หน้าตักกว้าง 8 นิ้ว,11,8,1.22,1200,1400,200
30,หลวงปู่ทวด หน้าตักกว้าง 9 นิ้ว เนื้อแบบสนิมเหล็ก,,9,1.27,1200,1400,200
32,หลวงปู่โต หน้าตักกว้าง 9 นิ้ว เนื้อแบบสนิมเหล็ก,,9,1.27,1200,1400,200
58,รัชกาลที่ 5 ขนาดสูง 30 นิ้ว หน้าตักกว้าง 5 นิ้ว,30,5,1.30,1200,1450,250
59,รัชกาลที่ 5 ขนาดสูง 30 นิ้ว หน้าตักกว้าง 5 นิ้ว,30,5,1.30,1200,1450,250
52,หลวงพ่อเงิน ขนาดสูง 6 นิ้ว หน้าตักกว้าง 12 นิ้ว,6,12,1.50,1200,1600,400
57,พระราหู ขนาดสูง 12 นิ้ว หน้าตักกว้าง 10 นิ้ว,12,10,2.08,1200,2000,800
14,พระศิลาแลงอัด ฤาษีตาไฟ ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
16,พระศิลาแลงอัด หลวงปู่ฤษี ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
17,พระศิลาแลงอัด พระบูชาสมัยอู่ทอง ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
18,พระศิลาแลงอัด ปู่ฤษีตาไฟ ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
19,พระศิลาแลงอัด พระนาคปรก ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
20,พระศิลาแลงอัด พระบุชาสมัยเชียงแสน ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
21,พระศิลาแลงอัด พระบูชาสมัยสุโขทัย ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
35,ฤาษี ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
36,ฤาษีหน้าเสือ ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
37,ฤาษีหน้าวัว ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
44,ฤาษี บดยา ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
45,ฤาษีเขียนตำรา ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
46,ฤาษีม้วนตำรา ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
50,พิเภก ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
51,พระนารายณ์ ขนาดสูง 16 นิ้ว หน้าตักกว้าง 9 นิ้ว,16,9,2.25,1200,2100,900
