รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,URL หน้าสินค้า,รูปหลัก (ไฟล์),alt ที่ควรใส่,จำนวนตัวอักษร
2,หินอ่อนขาวเทาลายเมฆ (Clouldy White Marble) CWM ขนาด30*30cm,หินอ่อนภายในประเทศ,https://www.xn--q3ca6cja3bzj.com/product/2/,7d/3w/yd.jpg,แผ่นหินอ่อนขาวเทาลายเมฆ Cloudy White Marble ผิวขัดมัน ลายเมฆสีเทาบนพื้นขาว ขนาด 30x30 ซม. ตั้งโชว์,98
3,หินอ่อนชมพูทับกวาง Tubkwang Marble (TKM),หินอ่อนภายในประเทศ,https://www.xn--q3ca6cja3bzj.com/product/3/,3m/um/n7.jpg,แผ่นหินอ่อนชมพูทับกวาง Tubkwang Marble ผิวขัดมัน สีชมพูอมส้ม ตั้งโชว์เต็มแผ่น,77
5,หินอ่อน ไวท์วารากัส white volakas marble (WVM) ขนาดสั่งตัด,หินอ่อนต่างประเทศ,https://www.xn--q3ca6cja3bzj.com/product/5/,lq/6r/5x.jpg,สแลปหินอ่อนไวท์วอลาคัส White Volakas สีขาวลายเทา ตั้งเรียงคู่ในโกดัง พร้อมสั่งตัดตามขนาด,88
6,หินอ่อนดำพระลาน Phalan Balack (HPB),หินอ่อนภายในประเทศ,https://www.xn--q3ca6cja3bzj.com/product/6/,zi/ob/1i.jpg,สแลปหินอ่อนดำพระลาน Phalan Black แผ่นใหญ่สีดำ ตั้งในโกดังหินของสยามสโตน,71
7,หินอ่อน ไวท์คาราร่า white carrara marble (WCM),หินอ่อนต่างประเทศ,https://www.xn--q3ca6cja3bzj.com/product/7/,pm/iz/jo.jpg,สแลปหินอ่อนไวท์คาราร่า White Carrara สีขาวลายเทาอ่อน แผ่นใหญ่พิงผนังในโกดัง,75
8,Slate Stone หินจิ๊กซอ Galaxy Black หินดำกาแล็กซี่ ปูผนัง (SSM),หินอ่อนตกแต่ง,https://www.xn--q3ca6cja3bzj.com/product/8/,4h/n7/29.jpg,ผนังหินจิ๊กซอ Slate Stone Galaxy Black เรียงแบบก่อซ้อน เทียบสีดำกับสีขาวข้างกัน,79
9,หินอ่อน เขียวอิตาลี Green Italian Marble (GIM),หินอ่อนต่างประเทศ,https://www.xn--q3ca6cja3bzj.com/product/9/,nj/qp/ge.jpg,ผิวหินอ่อนเขียวอิตาลี Green Italian Marble สีเขียวเข้มลายเส้นขาว ระยะใกล้,73
10,หินอ่อน แบล็คมาคิวน่า BLACK MARQUINA Marble (BMM),หินอ่อนต่างประเทศ,https://www.xn--q3ca6cja3bzj.com/product/10/,a6/z2/c9.jpg,สแลปหินอ่อนแบล็คมาคีน่า Black Marquina สีดำลายเส้นขาว แผ่นใหญ่ในโกดัง,69
17,หินแกรนิต ดำจีน China Black granite (CBG),หินแกรนิต,https://www.xn--q3ca6cja3bzj.com/product/17/,52/zt/hr.jpg,ท็อปครัวหินแกรนิตดำจีน China Black ผิวขัดมัน ในครัวบิลท์อินสีขาว,64
18,หินแกรนิตดำอินเดีย (G20) Indian Black Granite (IBG),หินแกรนิต,https://www.xn--q3ca6cja3bzj.com/product/18/,tf/cz/k3.jpg,แผ่นหินแกรนิตดำอินเดีย G20 Indian Black ผิวขัดมัน วางซ้อนสองแผ่น,64
19,หินแกรนิต แดงอินเดีย Indian Red Granite (IRG),หินแกรนิต,https://www.xn--q3ca6cja3bzj.com/product/19/,de/mq/ca.jpg,ผิวหินแกรนิตแดงอินเดีย Indian Red สีแดงจุดดำ ระยะใกล้,53
